date,pred,calculated_at
2019-12-12,4503.0757,2024-08-22 02:05:19.709968
2019-12-13,3690.1548,2024-08-22 02:05:19.709968
2019-12-14,2657.3467,2024-08-22 02:05:19.709968
2019-12-15,2125.2124,2024-08-22 02:05:19.709968
2019-12-16,4572.128,2024-08-22 02:05:19.709968
2019-12-17,4284.577,2024-08-22 02:05:19.709968
2019-12-18,3759.0012,2024-08-22 02:05:19.709968
2019-12-19,4822.3125,2024-08-22 03:37:21.230892
2019-12-20,4054.4763,2024-08-22 03:37:21.230892
2019-12-21,1661.7367,2024-08-22 03:37:21.230892
2019-12-22,1262.6858,2024-08-22 03:37:21.230892
2019-12-23,4335.4307,2024-08-22 03:37:21.230892
2019-12-24,4112.1846,2024-08-22 03:37:21.230892
2019-12-25,4509.064,2024-08-22 03:37:21.230892
2019-12-26,3317.1985,2024-08-22 05:22:32.037969
2019-12-27,3943.0513,2024-08-22 05:22:32.037969
2019-12-28,1713.854,2024-08-22 05:22:32.037969
2019-12-29,579.0796,2024-08-22 05:22:32.037969
2019-12-30,4913.4346,2024-08-22 05:22:32.037969
2019-12-31,3858.5183,2024-08-22 05:22:32.037969
2020-01-01,3568.2732,2024-08-22 05:22:32.037969
2020-01-02,3531.788,2024-08-22 19:27:40.555535
2020-01-03,3944.4897,2024-08-22 19:27:40.555535
2020-01-04,2315.8606,2024-08-22 19:27:40.555535
2020-01-05,562.74536,2024-08-22 19:27:40.555535
2020-01-06,4567.769,2024-08-22 19:27:40.555535
2020-01-07,4258.241,2024-08-22 19:27:40.555535
2020-01-08,4613.0605,2024-08-22 19:27:40.555535
2020-01-09,5025.957,2024-08-22 21:23:18.414734
2020-01-10,4215.967,2024-08-22 21:23:18.414734
2020-01-11,2025.5144,2024-08-22 21:23:18.414734
2020-01-12,2029.7987,2024-08-22 21:23:18.414734
2020-01-13,4829.757,2024-08-22 21:23:18.414734
2020-01-14,4170.8394,2024-08-22 21:23:18.414734
2020-01-15,4860.177,2024-08-22 21:23:18.414734
2020-01-16,4502.4814,2024-08-22 04:55:27.132462
2020-01-17,3666.8374,2024-08-22 04:55:27.132462
2020-01-18,2302.5251,2024-08-22 04:55:27.132462
2020-01-19,1348.7462,2024-08-22 04:55:27.132462
2020-01-20,4603.8027,2024-08-22 04:55:27.132462
2020-01-21,4835.2,2024-08-22 04:55:27.132462
2020-01-22,4074.62,2024-08-22 04:55:27.132462
2020-01-23,4187.779,2024-08-22 02:36:58.312817
2020-01-24,3244.7395,2024-08-22 02:36:58.312817
2020-01-25,1129.9373,2024-08-22 02:36:58.312817
2020-01-26,737.6758,2024-08-22 02:36:58.312817
2020-01-27,4266.0093,2024-08-22 02:36:58.312817
2020-01-28,4633.7417,2024-08-22 02:36:58.312817
2020-01-29,4235.6685,2024-08-22 02:36:58.312817
2020-01-30,4221.4854,2024-08-23 03:46:14.118413
2020-01-31,3456.374,2024-08-23 03:46:14.118413
2020-02-01,1406.1316,2024-08-23 03:46:14.118413
2020-02-02,699.45654,2024-08-23 03:46:14.118413
2020-02-03,4643.1685,2024-08-23 03:46:14.118413
2020-02-04,4512.039,2024-08-23 03:46:14.118413
2020-02-05,4670.789,2024-08-23 03:46:14.118413
2020-02-06,4329.9463,2024-08-23 00:45:57.882743
2020-02-07,3284.4075,2024-08-23 00:45:57.882743
2020-02-08,1169.3789,2024-08-23 00:45:57.882743
2020-02-09,-120.48779,2024-08-23 00:45:57.882743
2020-02-10,4186.7515,2024-08-23 00:45:57.882743
2020-02-11,3959.2034,2024-08-23 00:45:57.882743
2020-02-12,3748.3953,2024-08-23 00:45:57.882743
2020-02-13,4595.662,2024-08-22 20:56:47.286410
2020-02-14,3578.3105,2024-08-22 20:56:47.286410
2020-02-15,1483.7423,2024-08-22 20:56:47.286410
2020-02-16,655.7175,2024-08-22 20:56:47.286410
2020-02-17,4018.8452,2024-08-22 20:56:47.286410
2020-02-18,4168.5317,2024-08-22 20:56:47.286410
