date,true,pred,pred_corrected
2019-10-09,4374.0,4311.143,4311.143
2019-10-10,4197.0,4251.694,4251.694
2019-10-11,3460.0,3763.6528,3763.6528
2019-10-12,1184.0,1302.8416,1302.8416
2019-10-13,444.0,-121.78247,-121.78247
2019-10-14,3041.0,3872.7864,3872.7864
2019-10-15,4707.0,4218.6978,4218.6978
2019-10-16,4283.0,4013.0715,4013.0715
2019-10-17,4518.0,3739.1821,3739.1821
2019-10-18,3266.0,3200.6392,3200.6392
2019-10-19,1382.0,1540.973,1540.973
2019-10-20,429.0,419.39746,419.39746
2019-10-21,5073.0,3373.8828,3373.8828
2019-10-22,4206.0,4174.5957,4174.5957
2019-10-23,4063.0,3913.3806,3913.3806
2019-10-24,4300.0,3935.4922,3935.4922
2019-10-25,3849.0,3376.2236,3376.2236
2019-10-26,1397.0,1363.636,1363.636
2019-10-27,458.0,142.39722,142.39722
2019-10-28,4675.0,3944.5508,3944.5508
2019-10-29,4140.0,3899.3293,3899.3293
2019-10-30,3973.0,3785.9963,3785.9963
2019-10-31,4479.0,4299.334,4299.334
2019-11-01,3819.0,3869.9683,3869.9683
2019-11-02,1209.0,1753.3851,1753.3851
2019-11-03,403.0,14.524902,14.524902
2019-11-04,5279.0,4348.312,4348.312
2019-11-05,4922.0,4747.0815,4747.0815
2019-11-06,5027.0,4412.3516,4605.0977
2019-11-07,4351.0,4710.019,4941.7227
2019-11-08,4540.0,3690.0574,3750.6626
2019-11-09,1414.0,1391.3362,1920.3059
2019-11-10,370.0,-217.91064,-191.8495
2019-11-11,4625.0,4110.36,4303.163
2019-11-12,4706.0,5022.3047,5234.2617
2019-11-13,4518.0,4869.0996,4875.0205
2019-11-14,4551.0,4750.162,4807.366
2019-11-15,4691.0,4230.031,4164.235
2019-11-16,1794.0,1609.979,1794.8774
2019-11-17,610.0,211.98608,358.49823
2019-11-18,1205.0,3973.4941,4124.647
2019-11-19,4287.0,4274.484,3555.4224
2019-11-20,4391.0,4151.344,4360.809
2019-11-21,4018.0,4094.484,4120.848
2019-11-22,3765.0,3844.2502,3904.882
2019-11-23,1723.0,1528.0557,1560.6826
2019-11-24,256.0,-330.88184,-296.64786
2019-11-25,4329.0,2870.587,3375.0571
2019-11-26,4918.0,3747.7017,4361.506
2019-11-27,9283.0,4280.715,4712.8564
2019-11-28,4047.0,4049.976,5769.1826
2019-11-29,4431.0,4002.8503,4110.0146
2019-11-30,1405.0,1275.0583,1581.5781
2019-12-01,400.0,430.37964,578.82605
2019-12-02,5047.0,4103.6245,4017.9155
2019-12-03,4491.0,4876.4946,5186.134
2019-12-04,4440.0,5434.404,4814.862
2019-12-05,4399.0,5014.6387,4933.499
2019-12-06,4613.0,4903.637,4787.2817
2019-12-07,2031.0,1848.1667,1840.243
2019-12-08,384.0,660.4231,957.3666
2019-12-09,4943.0,5016.3506,5159.4824
2019-12-10,4848.0,4420.6406,4409.8574
2019-12-11,4465.0,4868.0073,5213.355
2019-12-12,4566.0,4298.441,4307.298
2019-12-13,3992.0,4224.7593,4546.316
2019-12-14,1750.0,2178.3657,2165.3992
2019-12-15,511.0,305.48682,215.742
2019-12-16,5240.0,4433.993,4562.3115
2019-12-17,5104.0,4868.492,5178.5894
2019-12-18,4678.0,4366.568,4599.54
2019-12-19,4423.0,4467.9985,4654.19
2019-12-20,4893.0,4330.433,4495.9272
2019-12-21,1602.0,2007.2822,2399.983
2019-12-22,328.0,1018.34424,847.8795
2019-12-23,5906.0,4386.408,4008.676
2019-12-24,1553.0,4540.6465,5118.709
2019-12-25,231.0,4757.4463,3776.5056
2019-12-26,4231.0,4501.922,3301.6216
2019-12-27,4504.0,4457.7285,4158.4365
2019-12-28,1715.0,1471.9521,1361.5813
2019-12-29,334.0,229.3789,561.5879
2019-12-30,4097.0,4692.5967,4622.467
2019-12-31,1460.0,3451.2092,3593.365
2020-01-01,232.0,2301.1328,2382.3413
2020-01-02,4247.0,3748.991,3116.0725
2020-01-03,4330.0,4330.284,4395.3105
2020-01-04,1818.0,2371.7876,2350.2593
2020-01-05,334.0,801.0166,430.88092
2020-01-06,4548.0,4122.986,3929.7236
2020-01-07,4459.0,2936.5964,3401.9058
2020-01-08,4366.0,2916.1814,3682.505
2020-01-09,4366.0,3736.0261,4116.421
2020-01-10,3940.0,4362.7817,4673.1387
2020-01-11,1740.0,2078.1626,2124.6445
2020-01-12,333.0,377.3296,306.68716
2020-01-13,4698.0,4819.627,4777.5317
2020-01-14,4216.0,3955.823,3813.5232
2020-01-15,4444.0,4479.6953,4435.1025
2020-01-16,4744.0,4122.419,4078.7751
2020-01-17,4058.0,3918.0981,4073.3557
2020-01-18,1556.0,1826.5844,2014.3544
2020-01-19,301.0,135.00659,471.6052
2020-01-20,4447.0,3946.54,4187.757
2020-01-21,4757.0,3971.3906,4137.2217
2020-01-22,4542.0,4283.038,4714.087
2020-01-23,3951.0,4117.495,4206.6636
2020-01-24,4117.0,3832.2363,3773.6853
2020-01-25,1775.0,1288.2373,1524.9825
2020-01-26,334.0,2.4482422,344.94324
2020-01-27,5035.0,3486.0403,3665.6091
2020-01-28,4759.0,4675.166,5160.343
2020-01-29,4982.0,4504.39,4647.288
2020-01-30,4949.0,4125.421,4531.5244
2020-01-31,4718.0,3918.6926,4320.3794
2020-02-01,1310.0,2082.5962,2426.5125
2020-02-02,373.0,103.809814,-60.04637
2020-02-03,4441.0,4526.2197,4497.8223
2020-02-04,4483.0,5315.079,5311.891
2020-02-05,4803.0,4953.5996,4854.4834
2020-02-06,4742.0,5008.8604,4964.432
2020-02-07,4388.0,4433.2305,4317.328
2020-02-08,1771.0,1425.1736,1695.031
2020-02-09,449.0,231.98389,396.70987
2020-02-10,5018.0,3946.833,4115.0
2020-02-11,4999.0,4367.398,4927.9556
2020-02-12,4958.0,4605.6772,4953.2437
2020-02-13,4704.0,4338.895,4554.0605
2020-02-14,4792.0,3613.7822,3925.927
2020-02-15,1771.0,1957.5079,2301.6523
2020-02-16,391.0,255.17383,229.98654
2020-02-17,4872.0,4328.2217,4424.329
2020-02-18,4865.0,4479.9443,4642.788
2020-02-19,4653.0,4754.073,4952.5776
2020-02-20,4239.0,4620.251,4739.9756
2020-02-21,3951.0,4259.0034,4094.6453
2020-02-22,1455.0,1744.769,1778.1372
2020-02-23,311.0,14.574707,91.11472
2020-02-24,1180.0,4054.3237,4097.465
2020-02-25,1376.0,4124.358,3280.9243
2020-02-26,4681.0,4158.161,3490.7507
2020-02-27,4279.0,4432.2144,4487.371
2020-02-28,4205.0,3975.4988,3916.168
2020-02-29,2008.0,1466.2004,1787.8643
2020-03-01,548.0,171.97095,326.0693
2020-03-02,5495.0,3925.2512,4351.001
2020-03-03,5352.0,3537.624,4531.3633
2020-03-04,5116.0,4010.4746,4574.629
2020-03-05,5001.0,4312.0654,4802.8657
2020-03-06,4476.0,4271.701,4588.7993
2020-03-07,1718.0,2205.1108,2069.2786
2020-03-08,466.0,887.22705,843.71924
2020-03-09,4936.0,4695.75,4590.4697
2020-03-10,4719.0,5237.5205,5024.148
2020-03-11,4810.0,5133.6816,4894.693
2020-03-12,4861.0,4577.464,4658.928
2020-03-13,4408.0,4517.6763,4659.74
2020-03-14,1831.0,1987.7279,2141.1108
2020-03-15,409.0,570.229,752.53864
2020-03-16,4429.0,4157.0195,4153.525
2020-03-17,4036.0,4249.6724,4532.273
2020-03-18,4140.0,4335.864,4378.171
2020-03-19,2591.0,3857.2026,3676.4314
2020-03-20,991.0,3438.0464,3141.874
2020-03-21,468.0,1076.0605,608.39655
2020-03-22,102.0,-237.6814,-452.04065
2020-03-23,334.0,2849.4785,2883.4587
2020-03-24,312.0,2838.5076,2269.3464
2020-03-25,1597.0,2961.2983,2266.9956
2020-03-26,1843.0,2439.7153,2074.0955
2020-03-27,2182.0,1706.3749,1799.8584
2020-03-28,858.0,678.8518,880.06305
2020-03-29,197.0,359.70825,266.64014
2020-03-30,2348.0,3298.6853,3496.566
2020-03-31,889.0,2703.4287,2615.2878
2020-04-01,2391.0,2888.5789,2413.3384
2020-04-02,2718.0,2454.7817,2397.1597
2020-04-03,2414.0,2268.2734,2170.9324
2020-04-04,1114.0,1520.4783,1354.5868
2020-04-05,359.0,417.82812,374.40057
2020-04-06,2978.0,3257.7124,3376.325
2020-04-07,2949.0,3225.051,3327.5007
2020-04-08,3046.0,3310.9402,3352.3135
2020-04-09,2876.0,3133.103,3051.6504
2020-04-10,1321.0,2806.5134,2730.202
2020-04-11,1421.0,1492.633,1064.1333
2020-04-12,425.0,1111.2607,1006.6953
2020-04-13,3777.0,3278.0032,3050.0635
2020-04-14,3557.0,3606.5488,3984.8892
2020-04-15,3536.0,3641.4998,3663.9077
2020-04-16,3736.0,3583.2986,3499.3103
2020-04-17,3907.0,2851.3623,3170.7898
2020-04-18,1894.0,1252.408,1745.063
2020-04-19,744.0,1643.2004,2014.2539
2020-04-20,4443.0,4142.0586,4003.2769
2020-04-21,4289.0,3827.9448,3992.34
2020-04-22,4470.0,4018.4878,4110.8994
2020-04-23,4753.0,3323.8494,3553.9558
2020-04-24,4675.0,3406.2244,3761.5928
2020-04-25,2680.0,1783.5686,2270.8057
2020-04-26,1026.0,481.8877,1065.2313
2020-04-27,5376.0,4436.61,4747.37
2020-04-28,5079.0,4158.9316,4518.676
2020-04-29,4796.0,4381.683,4857.0884
2020-04-30,5328.0,4376.1924,4451.7915
2020-05-01,1304.0,3560.5974,3804.8064
2020-05-02,2946.0,1623.9039,1056.5782
2020-05-03,854.0,508.9253,999.06384
2020-05-04,5361.0,5096.64,5082.422
2020-05-05,5021.0,4867.9424,5147.235
2020-05-06,5193.0,4667.3896,4913.121
2020-05-07,5644.0,4611.25,4756.6646
2020-05-08,5312.0,3585.197,4364.9717
2020-05-09,2924.0,2670.8525,3265.7842
2020-05-10,979.0,1324.1711,1528.8726
2020-05-11,5703.0,5558.481,5691.2705
2020-05-12,6480.0,5189.0547,5258.1875
2020-05-13,5658.0,5166.972,5448.809
2020-05-14,5773.0,5028.784,5397.0845
2020-05-15,8373.0,5197.564,5377.0415
2020-05-16,2729.0,2357.809,3373.3813
2020-05-17,1200.0,1297.3223,1689.7634
2020-05-18,5889.0,5422.6934,5790.0
2020-05-19,6220.0,5719.408,5754.0347
2020-05-20,5317.0,5819.425,6092.268
2020-05-21,5336.0,5769.8594,5683.7803
2020-05-22,5272.0,4776.5337,4414.986
2020-05-23,2318.0,2822.7764,3012.4055
2020-05-24,835.0,599.5366,596.75696
2020-05-25,1735.0,4727.2393,4785.8833
2020-05-26,5243.0,4740.042,3994.3481
2020-05-27,4640.0,4561.537,5088.8726
2020-05-28,5287.0,5117.497,4971.7153
2020-05-29,4788.0,4754.62,4961.9727
2020-05-30,2239.0,2745.1746,2985.038
2020-05-31,904.0,965.96387,886.85205
2020-06-01,5159.0,3983.966,4275.4526
2020-06-02,4718.0,4855.422,5226.979
2020-06-03,5308.0,5022.496,4952.568
2020-06-04,5542.0,5219.191,5471.9697
2020-06-05,5535.0,5032.412,5131.295
2020-06-06,1706.0,2360.6729,2505.8477
2020-06-07,536.0,607.2605,729.16327
2020-06-08,4858.0,5339.0903,5282.5933
2020-06-09,4914.0,5399.7236,5164.139
2020-06-10,4822.0,4914.755,4714.6787
2020-06-11,5200.0,4465.977,4591.3784
2020-06-12,4820.0,5038.2,5173.2856
2020-06-13,2172.0,2372.1206,2480.857
2020-06-14,590.0,-407.68677,-392.75525
2020-06-15,1490.0,4216.5186,4689.3345
2020-06-16,4458.0,4447.603,3785.3496
2020-06-17,4153.0,4339.4937,4408.6953
2020-06-18,4941.0,4024.294,3702.9626
2020-06-19,4035.0,4601.517,5101.7954
2020-06-20,1018.0,2246.9607,2271.93
2020-06-21,435.0,88.73364,-431.22168
2020-06-22,4383.0,3935.4375,4417.8945
2020-06-23,4337.0,4392.56,4615.2383
2020-06-24,4340.0,4444.048,4500.678
2020-06-25,4810.0,4398.1406,4440.598
2020-06-26,4329.0,4153.9707,4329.9624
2020-06-27,2097.0,1691.6438,1822.2452
2020-06-28,804.0,68.253174,385.05933
2020-06-29,4827.0,4423.145,4604.6187
2020-06-30,4400.0,4160.4546,4372.1865
2020-07-01,4375.0,4939.952,5027.1597
2020-07-02,4479.0,4756.688,4688.7026
2020-07-03,4421.0,3899.8384,3886.4006
2020-07-04,1783.0,2034.7417,2299.4934
2020-07-05,821.0,297.43677,151.67343
2020-07-06,5036.0,4425.1133,4669.9375
2020-07-07,4485.0,4666.3735,4965.3657
2020-07-08,4506.0,4420.819,4515.996
2020-07-09,1771.0,4087.7397,4203.178
2020-07-10,1952.0,4003.8767,3362.9363
2020-07-11,1729.0,1421.2312,1054.3416
2020-07-12,597.0,315.95532,252.91116
2020-07-13,4827.0,3965.4863,3926.8
2020-07-14,4463.0,4258.8735,4654.4717
2020-07-15,4685.0,3876.4292,4105.3135
2020-07-16,4502.0,3807.3567,4364.454
2020-07-17,4518.0,3053.3618,3621.2944
2020-07-18,2214.0,1918.5867,2488.7727
2020-07-19,796.0,911.687,1059.8457
2020-07-20,4139.0,4658.24,4645.104
2020-07-21,4007.0,4787.328,4562.525
2020-07-22,3897.0,4740.018,4497.613
2020-07-23,4262.0,5100.585,4877.4614
2020-07-24,3717.0,4203.8423,3770.6206
2020-07-25,1780.0,1889.4043,1700.251
2020-07-26,453.0,287.1333,394.25598
2020-07-27,5639.0,4120.6646,4385.737
2020-07-28,5158.0,3672.9739,4314.097
2020-07-29,4874.0,3849.9421,4569.5
2020-07-30,4549.0,3435.4033,3976.575
2020-07-31,4436.0,3522.8457,4040.8645
2020-08-01,1709.0,1538.6641,1868.3901
2020-08-02,676.0,141.93042,205.09566
2020-08-03,4844.0,4566.885,4638.5254
2020-08-04,5116.0,4660.5547,4785.0845
2020-08-05,5033.0,4806.9033,4987.3213
2020-08-06,4808.0,4776.05,4858.762
2020-08-07,4678.0,4420.7974,4512.839
2020-08-08,2598.0,2087.496,2361.0874
2020-08-09,853.0,529.40015,826.9784
2020-08-10,4964.0,4638.451,4847.9883
2020-08-11,4784.0,5138.3306,5353.8027
2020-08-12,4502.0,5038.7456,4990.532
2020-08-13,4472.0,4824.831,4749.953
2020-08-14,4688.0,4344.3193,4288.559
2020-08-15,2407.0,2020.0148,2136.9514
2020-08-16,815.0,979.59033,1172.0444
2020-08-17,1792.0,4177.4463,4228.099
2020-08-18,4483.0,4252.9443,3705.1318
2020-08-19,4290.0,4053.0083,4321.4316
2020-08-20,4297.0,4328.0,4511.6396
2020-08-21,4073.0,4186.256,4276.954
2020-08-22,2286.0,2549.931,2526.8835
2020-08-23,640.0,189.24121,133.92638
2020-08-24,4469.0,3593.8643,4038.4722
2020-08-25,4242.0,3738.0383,4030.711
2020-08-26,4006.0,4125.6846,4318.2563
2020-08-27,4359.0,4266.409,4347.9272
2020-08-28,4430.0,4124.817,4172.6655
2020-08-29,2075.0,1787.3247,1889.0184
2020-08-30,574.0,872.4133,1102.5823
2020-08-31,3485.0,4236.3564,4118.464
2020-09-01,3804.0,4597.0654,4356.7285
2020-09-02,3365.0,4034.6704,3856.9648
2020-09-03,3321.0,4533.2197,4418.215
2020-09-04,3245.0,3999.0623,3621.7803
2020-09-05,1424.0,1978.9459,1773.7013
2020-09-06,346.0,510.2068,386.65384
2020-09-07,3513.0,4115.3677,4233.27
2020-09-08,3703.0,4101.0996,4106.1895
2020-09-09,3610.0,4009.4685,3931.3787
2020-09-10,3508.0,3615.2322,3598.2961
2020-09-11,3361.0,3858.1802,4004.8896
2020-09-12,1373.0,1300.7966,1285.6412
2020-09-13,459.0,679.5132,676.6003
2020-09-14,3503.0,4161.549,4179.538
2020-09-15,3381.0,4128.1426,3976.4773
2020-09-16,3667.0,4047.5342,3925.4888
2020-09-17,3578.0,4276.4688,4203.04
2020-09-18,3313.0,3383.3276,3204.469
2020-09-19,1545.0,1416.8801,1366.9008
2020-09-20,449.0,353.05493,436.3991
2020-09-21,3365.0,3748.52,3914.6597
2020-09-22,3418.0,3385.8142,3400.4194
2020-09-23,3843.0,3475.242,3509.0327
2020-09-24,3851.0,3251.2898,3474.3887
2020-09-25,3900.0,3128.6572,3371.9443
2020-09-26,1668.0,1710.6453,1966.9631
2020-09-27,628.0,622.9883,653.95514
2020-09-28,3381.0,3329.58,3500.8289
2020-09-29,3747.0,3286.3489,3372.9983
2020-09-30,3548.0,3688.2646,3888.8823
2020-10-01,3531.0,3862.488,3858.2947
2020-10-02,4094.0,3310.817,3222.381
2020-10-03,2140.0,1614.9973,1931.6824
2020-10-04,846.0,576.79956,858.092
2020-10-05,4536.0,3449.854,3693.0723
2020-10-06,4583.0,3353.7964,3778.2961
2020-10-07,4839.0,3610.9836,4102.6104
2020-10-08,4762.0,3496.7085,4043.5327
2020-10-09,4184.0,3791.924,4275.365
