date,cantidad_entregas,is_holiday,holiday_name,weekday,tipo_feriado
2019-09-05,2769,false,,4,0
2019-09-06,8474,false,,5,0
2019-09-07,613,false,,6,-1
2019-09-08,346,false,,7,-1
2019-09-09,4814,false,,1,0
2019-09-10,4767,false,,2,0
2019-09-11,3850,false,,3,0
2019-09-12,3856,false,,4,0
2019-09-13,3911,false,,5,0
2019-09-14,1621,false,,6,-1
2019-09-15,801,false,,7,-1
2019-09-16,4395,false,,1,0
2019-09-17,4425,false,,2,0
2019-09-18,4133,false,,3,0
2019-09-19,4129,false,,4,0
2019-09-20,4165,false,,5,0
2019-09-21,1308,false,,6,-1
2019-09-22,475,false,,7,-1
2019-09-23,3744,false,,1,0
2019-09-24,4246,false,,2,0
2019-09-25,3448,false,,3,0
2019-09-26,3803,false,,4,0
2019-09-27,3720,false,,5,0
2019-09-28,1283,false,,6,-1
2019-09-29,314,true,Rosh Hashana Eve,7,2
2019-09-30,4049,true,Rosh Hashana,1,2
2019-10-01,3895,true,Second Day of Rosh Hashana,2,2
2019-10-02,3875,false,,3,0
2019-10-03,3811,false,,4,0
2019-10-04,3815,false,,5,0
2019-10-05,1233,false,,6,-1
2019-10-06,503,false,,7,-1
2019-10-07,4508,false,,1,0
2019-10-08,4203,true,Yom Kippur Eve,2,2
2019-10-09,4374,true,Yom Kippur,3,2
2019-10-10,4197,false,,4,0
2019-10-11,3460,false,,5,0
2019-10-12,1184,true,Day of Respect for Cultural Diversity,6,2
2019-10-13,444,false,,7,-1
2019-10-14,3041,true,Tourist Bridge Holiday,1,1
2019-10-15,4707,false,,2,0
2019-10-16,4283,false,,3,0
2019-10-17,4518,false,,4,0
2019-10-18,3266,false,,5,0
2019-10-19,1382,false,,6,-1
2019-10-20,429,true,Mothers' Day,7,2
2019-10-21,5073,false,,1,0
2019-10-22,4206,false,,2,0
2019-10-23,4063,false,,3,0
2019-10-24,4300,false,,4,0
2019-10-25,3849,false,,5,0
2019-10-26,1397,false,,6,-1
2019-10-27,458,false,,7,-1
2019-10-28,4675,false,,1,0
2019-10-29,4140,false,,2,0
2019-10-30,3973,false,,3,0
2019-10-31,4479,false,,4,0
2019-11-01,3819,false,,5,0
2019-11-02,1209,false,,6,-1
2019-11-03,403,false,,7,-1
2019-11-04,5279,false,,1,0
2019-11-05,4922,false,,2,0
2019-11-06,5027,false,,3,0
2019-11-07,4351,false,,4,0
2019-11-08,4540,false,,5,0
2019-11-09,1414,false,,6,-1
2019-11-10,370,false,,7,-1
2019-11-11,4625,false,,1,0
2019-11-12,4706,false,,2,0
2019-11-13,4518,false,,3,0
2019-11-14,4551,false,,4,0
2019-11-15,4691,false,,5,0
2019-11-16,1794,false,,6,-1
2019-11-17,610,false,,7,-1
2019-11-18,1205,true,National Sovereignty Day,1,1
2019-11-19,4287,false,,2,0
2019-11-20,4391,false,,3,0
2019-11-21,4018,false,,4,0
2019-11-22,3765,false,,5,0
2019-11-23,1723,false,,6,-1
2019-11-24,256,false,,7,-1
2019-11-25,4329,false,,1,0
2019-11-26,4918,false,,2,0
2019-11-27,9283,false,,3,0
2019-11-28,4047,false,,4,0
2019-11-29,4431,false,,5,0
2019-11-30,1405,false,,6,-1
2019-12-01,400,false,,7,-1
2019-12-02,5047,false,,1,0
2019-12-03,4491,false,,2,0
2019-12-04,4440,false,,3,0
2019-12-05,4399,false,,4,0
2019-12-06,4613,false,,5,0
2019-12-07,2031,false,,6,-1
2019-12-08,384,true,Immaculate Conception,7,2
2019-12-09,4943,false,,1,0
2019-12-10,4848,false,,2,0
2019-12-11,4465,false,,3,0
2019-12-12,4566,false,,4,0
2019-12-13,3992,false,,5,0
2019-12-14,1750,false,,6,-1
2019-12-15,511,false,,7,-1
2019-12-16,5240,false,,1,0
2019-12-17,5104,false,,2,0
2019-12-18,4678,false,,3,0
2019-12-19,4423,false,,4,0
2019-12-20,4893,false,,5,0
2019-12-21,1602,false,,6,-1
2019-12-22,328,false,,7,-1
2019-12-23,5906,false,,1,0
2019-12-24,1553,false,,2,0
2019-12-25,231,true,Christmas Day,3,1
2019-12-26,4231,false,,4,0
2019-12-27,4504,false,,5,0
2019-12-28,1715,false,,6,-1
2019-12-29,334,false,,7,-1
2019-12-30,4097,false,,1,0
2019-12-31,1460,true,New Year's Eve,2,1
2020-01-01,232,true,New Year's Day,3,1
2020-01-02,4247,false,,4,0
2020-01-03,4330,false,,5,0
2020-01-04,1818,false,,6,-1
2020-01-05,334,false,,7,-1
2020-01-06,4548,false,,1,0
2020-01-07,4459,false,,2,0
2020-01-08,4366,false,,3,0
2020-01-09,4366,false,,4,0
2020-01-10,3940,false,,5,0
2020-01-11,1740,false,,6,-1
2020-01-12,333,false,,7,-1
2020-01-13,4698,false,,1,0
2020-01-14,4216,false,,2,0
2020-01-15,4444,false,,3,0
2020-01-16,4744,false,,4,0
2020-01-17,4058,false,,5,0
2020-01-18,1556,false,,6,-1
2020-01-19,301,false,,7,-1
2020-01-20,4447,false,,1,0
2020-01-21,4757,false,,2,0
2020-01-22,4542,false,,3,0
2020-01-23,3951,false,,4,0
2020-01-24,4117,false,,5,0
2020-01-25,1775,false,,6,-1
2020-01-26,334,false,,7,-1
2020-01-27,5035,false,,1,0
2020-01-28,4759,false,,2,0
2020-01-29,4982,false,,3,0
2020-01-30,4949,false,,4,0
2020-01-31,4718,false,,5,0
2020-02-01,1310,false,,6,-1
2020-02-02,373,false,,7,-1
2020-02-03,4441,false,,1,0
2020-02-04,4483,false,,2,0
2020-02-05,4803,false,,3,0
2020-02-06,4742,false,,4,0
2020-02-07,4388,false,,5,0
2020-02-08,1771,false,,6,-1
2020-02-09,449,false,,7,-1
2020-02-10,5018,false,,1,0
2020-02-11,4999,false,,2,0
2020-02-12,4958,false,,3,0
2020-02-13,4704,false,,4,0
2020-02-14,4792,false,,5,0
2020-02-15,1771,false,,6,-1
2020-02-16,391,false,,7,-1
2020-02-17,4872,false,,1,0
2020-02-18,4865,false,,2,0
2020-02-19,4653,false,,3,0
2020-02-20,4239,false,,4,0
2020-02-21,3951,false,,5,0
2020-02-22,1455,false,,6,-1
2020-02-23,311,false,,7,-1
2020-02-24,1180,true,Carnival / Shrove Monday,1,2
2020-02-25,1376,true,Carnival / Shrove Tuesday / Pancake Day,2,2
2020-02-26,4681,false,,3,0
2020-02-27,4279,false,,4,0
2020-02-28,4205,false,,5,0
2020-02-29,2008,false,,6,-1
2020-03-01,548,false,,7,-1
2020-03-02,5495,false,,1,0
2020-03-03,5352,false,,2,0
2020-03-04,5116,false,,3,0
2020-03-05,5001,false,,4,0
2020-03-06,4476,false,,5,0
2020-03-07,1718,false,,6,-1
2020-03-08,466,false,,7,-1
2020-03-09,4936,false,,1,0
2020-03-10,4719,false,,2,0
2020-03-11,4810,false,,3,0
2020-03-12,4861,false,,4,0
2020-03-13,4408,false,,5,0
2020-03-14,1831,false,,6,-1
2020-03-15,409,false,,7,-1
2020-03-16,4429,false,,1,0
2020-03-17,4036,false,,2,0
2020-03-18,4140,false,,3,0
2020-03-19,2591,false,,4,0
2020-03-20,991,false,,5,0
2020-03-21,468,false,,6,-1
2020-03-22,102,false,,7,-1
2020-03-23,334,true,Tourist Bridge Holiday,1,1
2020-03-24,312,true,Memorial Day,2,1
2020-03-25,1597,false,,3,0
2020-03-26,1843,false,,4,0
2020-03-27,2182,false,,5,0
2020-03-28,858,false,,6,-1
2020-03-29,197,false,,7,-1
2020-03-30,2348,true,Bridge Public Holiday,1,1
2020-03-31,889,true,Holiday for Day of the Veterans,2,2
2020-04-01,2391,false,,3,0
2020-04-02,2718,true,Day of the Veterans,4,1
2020-04-03,2414,false,,5,0
2020-04-04,1114,false,,6,-1
2020-04-05,359,false,,7,-1
2020-04-06,2978,false,,1,0
2020-04-07,2949,false,,2,0
2020-04-08,3046,true,Passover Eve,3,2
2020-04-09,2876,true,Maundy Thursday,4,2
2020-04-09,2876,true,First day of Passover,4,2
2020-04-10,1321,true,Good Friday,5,2
2020-04-10,1321,true,Second Day of Passover,5,2
2020-04-11,1421,false,,6,-1
2020-04-12,425,true,Easter Sunday,7,2
2020-04-13,3777,false,,1,0
2020-04-14,3557,true,Sixth Day of Passover,2,2
2020-04-15,3536,true,Seventh Day of Passover,3,2
2020-04-16,3736,true,Last day of Passover,4,2
2020-04-17,3907,false,,5,0
2020-04-18,1894,false,,6,-1
2020-04-19,744,false,,7,-1
2020-04-20,4443,false,,1,0
2020-04-21,4289,false,,2,0
2020-04-22,4470,false,,3,0
2020-04-23,4753,false,,4,0
2020-04-24,4675,true,Action Day for Tolerance and Respect between People,5,2
2020-04-25,2680,false,,6,-1
2020-04-26,1026,false,,7,-1
2020-04-27,5376,false,,1,0
2020-04-28,5079,false,,2,0
2020-04-29,4796,false,,3,0
2020-04-30,5328,false,,4,0
2020-05-01,1304,true,Labor Day / May Day,5,2
2020-05-02,2946,false,,6,-1
2020-05-03,854,false,,7,-1
2020-05-04,5361,false,,1,0
2020-05-05,5021,false,,2,0
2020-05-06,5193,false,,3,0
2020-05-07,5644,false,,4,0
2020-05-08,5312,false,,5,0
2020-05-09,2924,false,,6,-1
2020-05-10,979,false,,7,-1
2020-05-11,5703,false,,1,0
2020-05-12,6480,false,,2,0
2020-05-13,5658,false,,3,0
2020-05-14,5773,false,,4,0
2020-05-15,8373,false,,5,0
2020-05-16,2729,false,,6,-1
2020-05-17,1200,false,,7,-1
2020-05-18,5889,false,,1,0
2020-05-19,6220,false,,2,0
2020-05-20,5317,false,,3,0
2020-05-21,5336,false,,4,0
2020-05-22,5272,false,,5,0
2020-05-23,2318,false,,6,-1
2020-05-24,835,true,End of Ramadan,7,2
2020-05-25,1735,true,National Day/May 1810 Revolution,1,2
2020-05-26,5243,false,,2,0
2020-05-27,4640,false,,3,0
2020-05-28,5287,false,,4,0
2020-05-29,4788,false,,5,0
2020-05-30,2239,false,,6,-1
2020-05-31,904,false,,7,-1
2020-06-01,5159,false,,1,0
2020-06-02,4718,false,,2,0
2020-06-03,5308,false,,3,0
2020-06-04,5542,false,,4,0
2020-06-05,5535,false,,5,0
2020-06-06,1706,false,,6,-1
2020-06-07,536,false,,7,-1
2020-06-08,4858,false,,1,0
2020-06-09,4914,false,,2,0
2020-06-10,4822,false,,3,0
2020-06-11,5200,false,,4,0
2020-06-12,4820,false,,5,0
2020-06-13,2172,false,,6,-1
2020-06-14,590,false,,7,-1
2020-06-15,1490,true,Commemoration of General Don Martín Miguel de Güemes,1,1
2020-06-16,4458,false,,2,0
2020-06-17,4153,false,,3,0
2020-06-18,4941,false,,4,0
2020-06-19,4035,false,,5,0
2020-06-20,1018,true,Flag Day,6,1
2020-06-21,435,false,,7,-1
2020-06-22,4383,false,,1,0
2020-06-23,4337,false,,2,0
2020-06-24,4340,false,,3,0
2020-06-25,4810,false,,4,0
2020-06-26,4329,false,,5,0
2020-06-27,2097,false,,6,-1
2020-06-28,804,false,,7,-1
2020-06-29,4827,false,,1,0
2020-06-30,4400,false,,2,0
2020-07-01,4375,false,,3,0
2020-07-02,4479,false,,4,0
2020-07-03,4421,false,,5,0
2020-07-04,1783,false,,6,-1
2020-07-05,821,false,,7,-1
2020-07-06,5036,false,,1,0
2020-07-07,4485,false,,2,0
2020-07-08,4506,false,,3,0
2020-07-09,1771,true,Independence day,4,1
2020-07-10,1952,true,Tourist Bridge Holiday,5,1
2020-07-11,1729,false,,6,-1
2020-07-12,597,false,,7,-1
2020-07-13,4827,false,,1,0
2020-07-14,4463,false,,2,0
2020-07-15,4685,false,,3,0
2020-07-16,4502,false,,4,0
2020-07-17,4518,false,,5,0
2020-07-18,2214,false,,6,-1
2020-07-19,796,false,,7,-1
2020-07-20,4139,false,,1,0
2020-07-21,4007,false,,2,0
2020-07-22,3897,false,,3,0
2020-07-23,4262,false,,4,0
2020-07-24,3717,false,,5,0
2020-07-25,1780,false,,6,-1
2020-07-26,453,false,,7,-1
2020-07-27,5639,false,,1,0
2020-07-28,5158,false,,2,0
2020-07-29,4874,false,,3,0
2020-07-30,4549,false,,4,0
2020-07-31,4436,true,Eid al-Adha,5,2
2020-08-01,1709,false,,6,-1
2020-08-02,676,false,,7,-1
2020-08-03,4844,false,,1,0
2020-08-04,5116,false,,2,0
2020-08-05,5033,false,,3,0
2020-08-06,4808,false,,4,0
2020-08-07,4678,false,,5,0
2020-08-08,2598,false,,6,-1
2020-08-09,853,false,,7,-1
2020-08-10,4964,false,,1,0
2020-08-11,4784,false,,2,0
2020-08-12,4502,false,,3,0
2020-08-13,4472,false,,4,0
2020-08-14,4688,false,,5,0
2020-08-15,2407,false,,6,-1
2020-08-16,815,false,,7,-1
2020-08-17,1792,true,San Martín Day,1,2
2020-08-18,4483,false,,2,0
2020-08-19,4290,false,,3,0
2020-08-20,4297,true,Muharram/New Year,4,2
2020-08-21,4073,false,,5,0
2020-08-22,2286,false,,6,-1
2020-08-23,640,false,,7,-1
2020-08-24,4469,false,,1,0
2020-08-25,4242,false,,2,0
2020-08-26,4006,false,,3,0
2020-08-27,4359,false,,4,0
2020-08-28,4430,false,,5,0
2020-08-29,2075,false,,6,-1
2020-08-30,574,false,,7,-1
2020-08-31,3485,false,,1,0
