date,weekday,holiday_name,tipo_feriado,demanda_feriado,demanda_promedio_otros_dias,variacion
2019-09-29,7,Rosh Hashana Eve,2,314,540.6666666666666,41.923551171393335
2019-09-30,1,Rosh Hashana,2,4049,4317.666666666667,6.222496718906823
2019-10-01,2,Second Day of Rosh Hashana,2,3895,4314.0,9.71256374594344
2019-10-08,2,Yom Kippur Eve,2,4203,4237.0,0.80245456691055
2019-10-09,3,Yom Kippur,2,4374,4048.5,-8.040014820303815
2019-10-12,6,Day of Respect for Cultural Diversity,2,1184,1337.3333333333333,11.465603190428709
2019-10-14,1,Tourist Bridge Holiday,1,3041,4752.0,36.005892255892256
2019-10-20,7,Mothers' Day,2,429,468.3333333333333,8.398576512455511
2019-11-18,1,National Sovereignty Day,1,1205,4744.333333333333,74.60127871847115
2019-12-08,7,Immaculate Conception,2,384,393.25,2.3521932612841705
2019-12-25,3,Christmas Day,1,231,4527.666666666667,94.89803430759038
2019-12-31,2,New Year's Eve,1,1460,3999.0,63.490872718179546
2020-01-01,3,New Year's Day,1,232,4583.5,94.93836587760444
2020-02-24,1,Carnival / Shrove Monday,2,1180,4777.0,75.29830437513083
2020-02-25,2,Carnival / Shrove Tuesday / Pancake Day,2,1376,4782.333333333333,71.22743430682372
2020-03-23,1,Tourist Bridge Holiday,1,334,4302.0,92.23616922361693
2020-03-24,2,Memorial Day,1,312,3749.0,91.67778074153108
2020-03-30,1,Bridge Public Holiday,1,2348,3798.5,38.18612610240885
2020-03-31,2,Holiday for Day of the Veterans,2,889,3604.75,75.33809556834731
2020-04-02,4,Day of the Veterans,1,2718,3913.8,30.55342633757474
2020-04-08,3,Passover Eve,2,3046,3798.25,19.805173435134602
2020-04-09,4,Maundy Thursday,2,2876,4133.75,30.426368309646207
2020-04-09,4,First day of Passover,2,2876,4133.75,30.426368309646207
2020-04-10,5,Good Friday,2,1321,3665.3333333333335,63.959621680611136
2020-04-10,5,Second Day of Passover,2,1321,3665.3333333333335,63.959621680611136
2020-04-12,7,Easter Sunday,2,425,709.6666666666666,40.112728980742126
2020-04-14,2,Sixth Day of Passover,2,3557,4105.666666666667,13.36364374441829
2020-04-15,3,Seventh Day of Passover,2,3536,3675.75,3.801945181255526
2020-04-16,4,Last day of Passover,2,3736,3710.2,-0.6953803029486331
2020-04-24,5,Action Day for Tolerance and Respect between People,2,4675,2240.75,-108.63550150619213
2020-05-01,5,Labor Day / May Day,2,1304,5936.25,78.0332701621394
2020-05-24,7,End of Ramadan,2,835,984.25,15.163830327660655
2020-05-25,1,National Day/May 1810 Revolution,2,1735,5651.0,69.2974694744293
2020-06-15,1,Commemoration of General Don Martín Miguel de Güemes,1,1490,4806.75,69.00192437717793
2020-06-20,6,Flag Day,1,1018,1991.6666666666667,48.887029288702934
2020-07-09,4,Independence day,1,1771,4448.0,60.18435251798561
2020-07-10,5,Tourist Bridge Holiday,1,1952,4273.0,54.317809501521175
2020-07-31,5,Eid al-Adha,2,4436,3652.0,-21.467688937568454
2020-08-17,1,San Martín Day,2,1792,4440.5,59.64418421348947
2020-08-20,4,Muharram/New Year,2,4297,4546.333333333333,5.484273040545489
2020-09-18,5,Rosh Hashana Eve,2,3313,3502.0,5.396916047972587
2020-09-19,6,Rosh Hashana,2,1545,1488.3333333333333,-3.8073908174692104
2020-09-20,7,Second Day of Rosh Hashana,2,449,477.6666666666667,6.001395673412426
2020-09-27,7,Yom Kippur Eve,2,628,418.0,-50.23923444976076
2020-09-28,1,Yom Kippur,2,3381,3460.3333333333335,2.292650033715446
2020-10-12,1,Day of Respect for Cultural Diversity,2,1689,4010.6666666666665,57.88730053191489
2020-10-18,7,Mothers' Day,2,510,692.0,26.300578034682083
2020-11-23,1,National Sovereignty Day,1,1342,3450.5,61.10708592957542
2020-12-07,1,Tourist Bridge Holiday,1,1469,3587.6666666666665,59.0541670537954
2020-12-08,2,Immaculate Conception,2,1513,3486.5,56.60404417037144
2020-12-25,5,Christmas Day,1,315,3555.6666666666665,91.14090184681729
2020-12-31,4,New Year's Eve,1,1553,3089.0,49.72483004208482
2021-01-01,5,New Year's Day,1,230,3421.75,93.27829327098706
2021-02-15,1,Carnival / Shrove Monday,2,1142,3819.0,70.0968840010474
2021-02-16,2,Carnival / Shrove Tuesday / Pancake Day,2,1280,4214.0,69.625059326056
2021-03-24,3,Memorial Day,1,1581,3934.75,59.81955651566173
2021-03-27,6,Passover Eve,2,1421,1584.0,10.29040404040404
2021-03-28,7,First day of Passover,2,420,447.3333333333333,6.110283159463483
2021-03-29,1,Second Day of Passover,2,3535,3887.5,9.067524115755626
2021-04-01,4,Maundy Thursday,2,2869,3946.0,27.293461733400914
2021-04-02,5,Good Friday,2,889,3835.75,76.82330704555824
2021-04-02,5,Day of the Veterans,1,889,3835.75,76.82330704555824
2021-04-02,5,Sixth Day of Passover,2,889,3835.75,76.82330704555824
2021-04-03,6,Seventh Day of Passover,2,1223,1825.0,32.986301369863014
2021-04-04,7,Easter Sunday,2,438,564.3333333333334,22.386296515062025
2021-04-04,7,Last day of Passover,2,438,564.3333333333334,22.386296515062025
2021-04-24,6,Action Day for Tolerance and Respect between People,2,1407,1763.6666666666667,20.223020223020228
2021-05-01,6,Labor Day / May Day,2,653,1502.75,56.54633172517052
2021-05-13,4,End of Ramadan,2,3847,3252.6666666666665,-18.272186923549913
2021-05-24,1,Tourist Bridge Holiday,1,1300,3557.0,63.45234748383469
2021-05-25,2,National Day/May 1810 Revolution,2,1060,3989.0,73.42692404111307
2021-06-17,4,Commemoration of General Don Martín Miguel de Güemes,1,5032,3972.0,-26.686807653575023
2021-06-20,7,Flag Day,1,593,785.6666666666666,24.52269834535426
2021-06-21,1,Day off for the Commemoration of General Don Martín Miguel de Güemes,2,1364,3963.0,65.58163007822357
2021-07-09,5,Independence day,1,1699,4186.5,59.41717425056729
2021-07-20,2,Eid al-Adha,2,3533,4501.333333333333,21.51214454976303
2021-08-10,2,Muharram/New Year,2,4774,4504.25,-5.9887883665427095
2021-08-16,1,San Martín Day,2,1727,4590.0,62.37472766884532
2021-09-06,1,Rosh Hashana Eve,2,4829,4688.666666666667,-2.9930328451585315
2021-09-07,2,Rosh Hashana,2,5116,4794.0,-6.716729244889446
2021-09-08,3,Second Day of Rosh Hashana,2,5195,4852.25,-7.063733319594003
2021-09-15,3,Yom Kippur Eve,2,4976,4907.0,-1.406154473201549
2021-09-16,4,Yom Kippur,2,4903,4764.75,-2.9015163439844693
2021-10-08,5,Tourist Bridge Holiday,1,2363,4707.25,49.80083913112752
2021-10-11,1,Day of Respect for Cultural Diversity,2,1769,5335.333333333333,66.843683618643
2021-10-17,7,Mothers' Day,2,729,627.0,-16.267942583732058
2021-11-20,6,National Sovereignty Day,1,1633,2228.6666666666665,26.727490278193233
2021-11-22,1,Tourist Bridge Holiday,1,1875,5542.25,66.16897469439307
2021-12-08,3,Immaculate Conception,2,2429,4849.75,49.914944069281916
2021-12-25,6,Christmas Day,1,424,2189.6666666666665,80.636322119044
2021-12-31,5,New Year's Eve,1,1888,4265.75,55.740491121139314
2022-01-01,6,New Year's Day,1,534,1926.25,72.27774172615185
2022-01-13,4,Public Sector Half Day,2,4324,4828.333333333333,10.445288229202617
2022-01-14,5,Public Sector Half Day,2,3826,4680.0,18.247863247863247
2022-02-28,1,Carnival / Shrove Monday,2,1973,5143.666666666667,61.642148921003184
2022-03-01,2,Carnival / Shrove Tuesday / Pancake Day,2,1680,5817.5,71.12161581435325
2022-03-24,4,Memorial Day,1,2517,5667.5,55.58888398764887
